상품 분류,카테고리,아이템,기장,색상,세부 색상,제품 링크,소매 기장,이미지 경로
의류,상의,후드,상세페이지 참조,상세페이지 참조,"[27.953701748999094, 28.518878188987443, 28.295084363172066]",https://a-bly.com/app/goods/3647391,상세페이지 참조,./images/ably/Hood/Hood_109.jpg
의류,상의,후드,상세페이지 참조,상세페이지 참조,"[129.58034559320586, 113.81303214596262, 100.08147504585372]",https://a-bly.com/app/goods/1984757,상세페이지 참조,./images/ably/Hood/Hood_110.jpg
의류,상의,후드,상세페이지 참조,상세페이지 참조,"[235.97493138549038, 228.25057809088096, 232.36971884253632]",https://a-bly.com/app/goods/2735470,상세페이지 참조,./images/ably/Hood/Hood_111.jpg
의류,상의,후드,상세페이지 참조,free,[],https://a-bly.com/app/goods/4434376,상세페이지 참조,./images/ably/Hood/Hood_112.jpg
의류,상의,후드,상세페이지 참조,상세페이지 참조,"[182.172407100253, 181.4427074143297, 177.8626001341036]",https://a-bly.com/app/goods/3668588,상세페이지 참조,./images/ably/Hood/Hood_113.jpg
의류,상의,후드,상세페이지 참조,상세페이지 참조,"[69.40610254273399, 79.0977573989203, 108.2004501875785]",https://a-bly.com/app/goods/3061102,상세페이지 참조,./images/ably/Hood/Hood_114.jpg
의류,상의,후드,상세페이지 참조,상세페이지 참조,"[35.26177165354105, 35.71442913386275, 41.34078740158682]",https://a-bly.com/app/goods/2748080,상세페이지 참조,./images/ably/Hood/Hood_115.jpg
의류,상의,후드,67,"블랙, 네이비, 핑크, 백염","[142.5261240310075, 140.82184108527233, 135.666589147287]",https://a-bly.com/app/goods/3616374,60,./images/ably/Hood/Hood_116.jpg
의류,상의,후드,상세페이지 참조,상세페이지 참조,"[49.55901899665359, 47.13221196258593, 52.79377168735574]",https://a-bly.com/app/goods/1823050,상세페이지 참조,./images/ably/Hood/Hood_117.jpg
의류,상의,후드,상세페이지 참조,상세페이지 참조,"[22.641407469694315, 18.81621532362479, 18.57330070853186]",https://a-bly.com/app/goods/2989092,상세페이지 참조,./images/ably/Hood/Hood_118.jpg
의류,상의,후드,51,"블랙, 그레이, 옐로우(품절), 핑크, 블루, 베이지","[208.7408938569981, 210.2610327319593, 208.15212025126414]",https://a-bly.com/app/goods/1920354,58,./images/ably/Hood/Hood_119.jpg
의류,상의,후드,상세페이지 참조,상세페이지 참조,"[31.488867983679143, 32.929956594231456, 32.501180043234626]",https://a-bly.com/app/goods/3647383,상세페이지 참조,./images/ably/Hood/Hood_120.jpg
의류,상의,후드,상세페이지 참조,상세페이지 참조,"[226.55721673237343, 219.4793405355553, 200.70733705391342]",https://a-bly.com/app/goods/3668593,상세페이지 참조,./images/ably/Hood/Hood_121.jpg
의류,상의,후드,상세페이지 참조,상세페이지 참조,"[183.89476317865947, 187.57189322350692, 190.68207625242593]",https://a-bly.com/app/goods/4096562,상세페이지 참조,./images/ably/Hood/Hood_122.jpg
의류,상의,후드,상세페이지 참조,상세페이지 참조,"[135.19878761983512, 126.74083371164576, 119.04641226266347]",https://a-bly.com/app/goods/3142305,상세페이지 참조,./images/ably/Hood/Hood_123.jpg
의류,상의,후드,상세페이지 참조,상세페이지 참조,"[139.85793511578905, 133.36232038129657, 127.72639486879646]",https://a-bly.com/app/goods/4343316,상세페이지 참조,./images/ably/Hood/Hood_124.jpg
의류,상의,후드,상세페이지 참조,상세페이지 참조,"[169.55658223428006, 158.27873432001576, 152.24835477718835]",https://a-bly.com/app/goods/4431767,상세페이지 참조,./images/ably/Hood/Hood_125.jpg
의류,상의,후드,41,"블랙, 메란지, 아이보리, 핑크","[213.91881613756124, 216.3646133958607, 216.66042869167964]",https://a-bly.com/app/goods/3851220,59,./images/ably/Hood/Hood_126.jpg
의류,상의,후드,상세페이지 참조,상세페이지 참조,"[131.4999999999985, 127.09481881505903, 123.29805509900754]",https://a-bly.com/app/goods/1998495,상세페이지 참조,./images/ably/Hood/Hood_127.jpg
의류,상의,후드,상세페이지 참조,상세페이지 참조,"[25.502611695144267, 24.27155059131057, 31.212697109068657]",https://a-bly.com/app/goods/2818122,상세페이지 참조,./images/ably/Hood/Hood_128.jpg
의류,상의,후드,상세페이지 참조,상세페이지 참조,"[23.842344682148678, 23.12641072859941, 26.59304906266472]",https://a-bly.com/app/goods/4141256,상세페이지 참조,./images/ably/Hood/Hood_129.jpg
의류,상의,후드,상세페이지 참조,상세페이지 참조,"[202.062024440853, 199.8958433772748, 192.56499046261513]",https://a-bly.com/app/goods/3772581,상세페이지 참조,./images/ably/Hood/Hood_130.jpg
의류,상의,후드,상세페이지 참조,상세페이지 참조,"[237.02275083867767, 235.40756328150567, 233.18847209514178]",https://a-bly.com/app/goods/2820428,상세페이지 참조,./images/ably/Hood/Hood_131.jpg
의류,상의,후드,72,"블랙, 백염, 먹색","[31.195033201413253, 35.96020859883875, 38.683764840042144]",https://a-bly.com/app/goods/3836903,51,./images/ably/Hood/Hood_132.jpg
의류,상의,후드,상세페이지 참조,상세페이지 참조,"[121.86079810746132, 145.47460001245426, 157.99212475876135]",https://a-bly.com/app/goods/2378641,상세페이지 참조,./images/ably/Hood/Hood_133.jpg
의류,상의,후드,상세페이지 참조,상세페이지 참조,"[32.144731697775484, 32.140259994131696, 38.080075261472516]",https://a-bly.com/app/goods/4257947,상세페이지 참조,./images/ably/Hood/Hood_134.jpg
의류,상의,후드,상세페이지 참조,상세페이지 참조,"[168.29156477499035, 170.88503808640377, 176.68957472524346]",https://a-bly.com/app/goods/3415244,상세페이지 참조,./images/ably/Hood/Hood_135.jpg
의류,상의,후드,상세페이지 참조,그레이 블랙 오트밀,"[68.75549556498272, 72.09612418048809, 81.87639799460285]",https://a-bly.com/app/goods/604049,상세페이지 참조,./images/ably/Hood/Hood_136.jpg
